"","PM25","PM10","NO2","NO","NOx","CO","C6H6","rok","miesiac","dzien"
"1",10.2565217391304,19.4173913043478,40.2869565217391,33.7347826086957,92.0130434782609,0.5,0.434782608695652,2023,9,1
"2",8.69565217391304,13.8391304347826,35.5782608695652,27.3166666666667,75.95,0.552173913043478,0.479166666666667,2023,9,2
"3",12.2666666666667,18.2083333333333,32.4041666666667,27.1458333333333,74.0375,0.545833333333333,0.4875,2023,9,3
"4",12.3333333333333,24.7458333333333,40.0583333333333,29.1875,84.8,0.483333333333333,0.395833333333333,2023,9,4
"5",13.6458333333333,24.4458333333333,51.075,48.9791666666667,126.154166666667,0.6,0.695833333333333,2023,9,5
"6",16.1916666666667,29.3708333333333,54.4666666666667,51.7875,133.870833333333,0.6375,0.816666666666667,2023,9,6
"7",21.1782608695652,37.0782608695652,58.6260869565217,58.4791666666667,145.745833333333,0.695652173913043,0.991666666666667,2023,9,7
"8",25.7666666666667,40.7833333333333,60.3375,64.1416666666667,158.679166666667,0.725,1.09166666666667,2023,9,8
"9",26.55,36.3166666666667,53,42.5125,118.1875,0.683333333333333,0.9125,2023,9,9
"10",27.0666666666667,35.7833333333333,48.3916666666667,36.5041666666667,104.341666666667,0.7125,0.8375,2023,9,10
"11",20.2083333333333,34.2166666666667,48.6291666666667,34.3583333333333,101.308333333333,0.579166666666667,0.591666666666667,2023,9,11
"12",26.4739130434783,42.5217391304348,52.4565217391304,34.6,103.279166666667,0.647826086956522,0.629166666666667,2023,9,12
"13",28.1041666666667,47.0458333333333,52.7083333333333,30.8916666666667,100.058333333333,0.6125,0.591666666666667,2023,9,13
"14",8.87083333333333,14.6708333333333,38.9666666666667,25.2041666666667,77.625,0.458333333333333,0.308333333333333,2023,9,14
"15",8.775,16.7583333333333,46,42.1166666666667,110.575,0.504166666666667,0.520833333333333,2023,9,15
"16",18.1541666666667,26.1916666666667,37.75,31.7458333333333,86.425,0.554166666666667,1.07916666666667,2023,9,16
"17",13.1173913043478,19.5782608695652,41.004347826087,37.9708333333333,97.3916666666667,0.595652173913043,0.795833333333333,2023,9,17
"18",15.6791666666667,29.025,50.075,59.7625,141.708333333333,0.6625,0.766666666666667,2023,9,18
"19",14.025,22.5166666666667,39.4875,46.1083333333333,110.208333333333,0.554166666666667,0.445833333333333,2023,9,19
"20",7.64166666666667,17.7791666666667,39.0208333333333,58.0541666666667,128.041666666667,0.6,0.4875,2023,9,20
"21",9.7,22.9166666666667,53.7375,66.6416666666667,155.920833333333,0.670833333333333,0.9,2023,9,21
"22",13.7173913043478,30.9217391304348,52.3652173913043,49.0958333333333,125.625,0.617391304347826,0.6875,2023,9,22
"23",11.9458333333333,18.275,34.15,36.5375,90.1583333333333,0.533333333333333,0.416666666666667,2023,9,23
"24",7.4695652173913,11.7041666666667,34.5916666666667,35.1125,87.4958333333333,3.0375,0.391666666666667,2023,9,24
"25",14.8666666666667,24.675,34.7,41.0333333333333,97.6166666666667,0.520833333333333,0.55,2023,9,25
"26",20.525,35.7375,42.8333333333333,61.2208333333333,136.7125,0.691666666666667,0.770833333333333,2023,9,26
"27",22.395652173913,40.5434782608696,54.0478260869565,58.8958333333333,141.758333333333,0.726086956521739,0.925,2023,9,27
"28",22.0125,42.5875,54.2333333333333,77.6041666666667,173.208333333333,0.779166666666667,0.945833333333333,2023,9,28
"29",20.4291666666667,37.5625,53.5291666666667,81.5541666666667,178.575,0.7625,0.816666666666667,2023,9,29
"30",18.8666666666667,28.1208333333333,35.6708333333333,64.7625,134.9625,0.729166666666667,0.733333333333333,2023,9,30
